#ion=18
# debug series 2 (c) 1999 cameron abrams & regents of uc berkeley
# Data sizes:
#  atoms:	104	x	2000			= 208000
# nNodes:	24	x	2000	x	20	= 960000
# cNodes:	24	x	100			= 2400
# total: 1170400
#introducing ion
#new atom 506
#new atom 507
#new atom 508
#new atom 509
#Notice: clust requires a setforce().
# cluster 0: Si_506  -0.41404
# cluster 1: F_3 C_1  15.97837
# warning: pe of current cfg already set
#t	time	KE	PE		E		Edrift		%Edrift		T	sig_xx		sig_yy		sig_zz
#[#]	[ps]	[eV]	[eV]		[eV]		[eV]		[%]		[K]	[Pa]		[Pa]		[Pa]
0	0.0000	115.466	-2016.476	-1901.010	0.000e+00	0.000e+00	293.00	-8.72568e+07	4.82408e+07	3.54446e+08
1	0.0010	115.570	-2016.580	-1901.010	3.104e-04	1.633e-05	292.87	-8.62709e+07	5.12854e+07	3.59465e+08
2	0.0020	115.788	-2016.797	-1901.009	9.819e-04	5.165e-05	292.71	-8.44082e+07	5.62253e+07	3.67419e+08
3	0.0030	116.132	-2017.140	-1901.008	2.104e-03	1.107e-04	292.55	-8.15179e+07	6.33022e+07	3.78668e+08
4	0.0040	116.620	-2017.626	-1901.007	3.761e-03	1.979e-04	292.36	-7.74402e+07	7.27838e+07	3.93602e+08
5	0.0050	117.277	-2018.282	-1901.004	5.917e-03	3.112e-04	292.15	-7.20970e+07	8.47496e+07	4.12346e+08
6	0.0060	118.138	-2019.140	-1901.002	8.154e-03	4.289e-04	291.91	-6.56672e+07	9.86614e+07	4.34153e+08
7	0.0070	119.238	-2020.239	-1901.001	9.118e-03	4.796e-04	291.63	-5.89282e+07	1.12539e+08	4.56233e+08
8	0.0080	120.591	-2021.596	-1901.005	5.616e-03	2.954e-04	291.32	-5.38331e+07	1.21563e+08	4.71788e+08
9	0.0090	122.153	-2023.170	-1901.018	-7.538e-03	3.965e-04	290.97	-5.41259e+07	1.16589e+08	4.67908e+08
10	0.0100	123.752	-2024.794	-1901.043	-3.240e-02	1.704e-03	290.56	-6.46597e+07	8.58086e+07	4.27924e+08
11	0.0110	125.092	-2026.157	-1901.066	-5.536e-02	2.912e-03	290.09	-8.68185e+07	2.59025e+07	3.47134e+08
12	0.0120	125.910	-2026.973	-1901.064	-5.322e-02	2.800e-03	289.57	-1.12647e+08	-4.36759e+07	2.52963e+08
13	0.0130	126.197	-2027.237	-1901.040	-2.988e-02	1.572e-03	288.98	-1.29964e+08	-9.31422e+07	1.87405e+08
14	0.0140	126.169	-2027.190	-1901.021	-1.062e-02	5.585e-04	288.32	-1.35168e+08	-1.13561e+08	1.63036e+08
15	0.0150	126.033	-2027.050	-1901.017	-6.783e-03	3.568e-04	287.60	-1.34228e+08	-1.19268e+08	1.59597e+08
16	0.0160	125.866	-2026.883	-1901.017	-6.514e-03	3.426e-04	286.82	-1.32734e+08	-1.23659e+08	1.58148e+08
17	0.0170	125.677	-2026.694	-1901.017	-6.259e-03	3.293e-04	285.97	-1.31260e+08	-1.27940e+08	1.56948e+08
18	0.0180	125.469	-2026.486	-1901.016	-6.021e-03	3.167e-04	285.07	-1.29883e+08	-1.32120e+08	1.55947e+08
19	0.0190	125.246	-2026.262	-1901.016	-5.800e-03	3.051e-04	284.13	-1.28664e+08	-1.36203e+08	1.55100e+08
20	0.0200	125.009	-2026.025	-1901.016	-5.596e-03	2.944e-04	283.14	-1.27646e+08	-1.40185e+08	1.54365e+08
21	0.0210	124.762	-2025.778	-1901.016	-5.410e-03	2.846e-04	282.14	-1.26852e+08	-1.44059e+08	1.53710e+08
